# Name	Time [MJD]	Ra [rad]	Dec [rad]	z	dL [Mpc]	Type	GM2.0_pre_p	GM2.0_post_p	GM2.5_pre_p	GM2.5_post_p	GM3.0_pre_p	GM3.0_post_p	LLGRB_PE_pre_p	LLGRB_PE_post_p	ULGRB_CS_pre_p	ULGRB_CS_post_p	LPGRB_nu_Attn_pre_p	LPGRB_nu_Attn_post_p
SN2016inl	57685.5	0.7174757666740021	0.3347284069260455	0.3057	1642.589	SLSN-I	0.362	1.0	0.371	1.0	0.387	1.0	0.355	1.0	0.365	1.0	0.371	1.0
DES16X2bvf	57694.5	0.604756585816035	-0.113625782441642	0.135	656.4	Ib	0.106	1.0	0.079	1.0	0.057	1.0	0.135	1.0	0.093	1.0	0.077	1.0
SN2016hgs	57695.5	0.221874981159779	0.477871100714679	0.017	76.2	Ib	0.323	1.0	0.336	1.0	0.351	1.0	0.324	1.0	0.318	1.0	0.329	1.0
SN2016ilg	57715.5	6.23089815167192	0.480824052364949	0.02813	127.151	Ic	0.332	1.0	0.343	1.0	0.36	1.0	0.321	1.0	0.323	1.0	0.338	1.0
SN2016ino	57716.5	4.54978247174055	1.0849373873888883	0.031	141.114	Ic-BL	0.597	1.0	0.551	1.0	0.521	1.0	0.674	1.0	0.605	1.0	0.564	1.0
SN2016ilj	57718.5	0.24114632498388316	0.2150196672275222	0.03945	180.687	Ic-BL	0.688	1.0	0.682	1.0	0.682	1.0	0.714	1.0	0.679	1.0	0.678	1.0
DES16X2dqz	57719.5	0.6320273553784465	-0.11911193405707744	0.204	1038.314	Ib/c?	0.092	1.0	0.101	1.0	0.113	1.0	0.083	1.0	0.092	1.0	0.1	1.0
SN2016jag	57744.5	4.028801690020244	-0.07252570262558104	0.007	31.302	Ib	0.388	1.0	0.502	1.0	0.627	1.0	0.492	1.0	0.759	1.0	0.738	1.0
SN2016jev	57750.5	1.09439416305261	0.0955169248621023	0.032	145.0	Ib	0.449	1.0	0.468	1.0	0.494	1.0	0.426	1.0	0.457	1.0	0.469	1.0
SN2016jdw	57751.5	3.47465965251205	0.535392692574546	0.0189	84.85	Ib	0.018	0.988	0.02	0.993	0.023	0.997	0.014	0.973	0.018	0.99	0.02	0.994
SN2017cw	57759.5	2.372047897564627	0.7521897837197523	0.093	442.04	Ic-BL	0.823	1.0	0.816	1.0	0.804	1.0	0.825	1.0	0.826	1.0	0.819	1.0
SN2017hl	57761.5	3.17351763449086	0.293923239272204	0.02307	103.908	Ib	0.357	1.0	0.405	1.0	0.455	1.0	0.315	1.0	0.354	1.0	0.393	1.0
SN2017wj	57781.5	1.9379699681832	0.695725279610177	0.051	234.0	Ib	0.164	1.0	0.172	1.0	0.177	1.0	0.148	1.0	0.162	1.0	0.172	1.0
SN2017xf	57781.5	2.81717957887535	0.944738239865111	0.06283	291.199	Ic	0.943	1.0	0.932	1.0	0.916	1.0	0.951	1.0	0.948	1.0	0.938	1.0
SN2017axg	57793.5	3.3009266698864415	0.9013661292138985	0.0586	272.065	Ic-BL	0.98	1.0	0.971	1.0	0.96	1.0	0.987	1.0	0.981	1.0	0.973	1.0
SN2017bkj	57808.5	2.982113193188811	0.9368806221285283	0.0273	123.936	Ibn	0.893	1.0	0.896	1.0	0.901	1.0	0.889	1.0	0.888	1.0	0.894	1.0
SN2017bgu	57819.5	4.43306357801343	0.742812178130155	0.0085	37.876	Ib	0.545	1.0	0.546	1.0	0.556	1.0	0.538	1.0	0.548	1.0	0.55	1.0
AT2017csd	57843.5	3.649701632076642	0.08692442654769371	0.03	136.462	Ib/c	0.235	1.0	0.22	1.0	0.2	1.0	0.243	1.0	0.239	1.0	0.228	1.0
SN2017cxz	57851.5	4.5349471730986	1.01052527473011	0.0289	130.7	Ib	0.286	1.0	0.246	1.0	0.213	1.0	0.344	1.0	0.299	1.0	0.26	1.0
SN2017ddc	57854.5	3.12283036413085	0.434914232981337	0.034	154.0	Ic	0.375	1.0	0.387	1.0	0.389	1.0	0.362	1.0	0.382	1.0	0.388	1.0
SN2017dgy	57871.5	3.37837565544369	-0.108394691303838	0.074	346.0	Ib	0.448	1.0	0.507	1.0	0.543	1.0	0.413	1.0	0.477	1.0	0.504	1.0
SN2017dwh	57883.5	3.8166714638507657	0.5495718928618525	0.13	632.919	SLSN-I	0.975	1.0	0.974	1.0	0.972	1.0	0.975	1.0	0.975	1.0	0.974	1.0
SN2017ein	57913.5	3.11054033731473	0.770108109522616	0.0027	11.97	Ic	0.153	1.0	0.154	1.0	0.153	1.0	0.141	1.0	0.155	1.0	0.157	1.0
SN2017ens	57917.5	3.159700444579234	-0.033705459144937715	0.1086	521.521	Ic-BL	0.25	1.0	0.282	1.0	0.308	1.0	0.23	1.0	0.249	1.0	0.27	1.0
SN2017eye	57926.5	3.82990687734506	0.372477600022382	0.031	140.0	Ic	0.006	0.797	0.005	0.694	0.004	0.603	0.009	0.9	0.006	0.783	0.005	0.715
SN2017ewx	57941.5	3.67515435033489	0.13402291211465	0.01518	67.956	Ib	0.439	1.0	0.506	1.0	0.556	1.0	0.369	1.0	0.454	1.0	0.498	1.0
SN2017fgk	57942.5	4.659229160251029	0.2816048993371	0.034	155.108	Ic-BL	0.849	1.0	0.836	1.0	0.819	1.0	0.859	1.0	0.848	1.0	0.837	1.0
SN2017egm	57944.5	2.7013333497742233	0.8107736993176663	unk	unk	SLSN-I	0.556	1.0	0.568	1.0	0.579	1.0	0.525	1.0	0.566	1.0	0.573	1.0
SN2017dio	57962.5	3.03890911593079	0.319331839485473	0.037	168.0	Ic	0.148	1.0	0.123	1.0	0.106	1.0	0.179	1.0	0.143	1.0	0.128	1.0
DES17X3ct	57989.5	0.6365361226127653	-0.08121938155523724	0.206	1049.688	Ibc?	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SN2017gip	57991.5	6.043275257082532	0.5019893208343078	0.0298	135.533	Ic	0.885	1.0	0.881	1.0	0.873	1.0	0.888	1.0	0.88	1.0	0.879	1.0
SN2017giq	57997.5	6.27409505065878	0.497478614345265	0.02981	134.931	Ic	0.677	1.0	0.656	1.0	0.635	1.0	0.71	1.0	0.67	1.0	0.662	1.0
SN2017hcb	58018.5	0.682423737529783	0.553438233487333	0.017	76.2	Ib	0.211	1.0	0.186	1.0	0.168	1.0	0.241	1.0	0.22	1.0	0.197	1.0
SN2017hbx	58028.5	4.66533781263301	0.442833325092684	0.1652	818.41	Ic	0.048	1.0	0.043	1.0	0.039	1.0	0.053	1.0	0.047	1.0	0.045	1.0
SN2018fd	58036.5	2.4024457153701944	0.6234623459997569	0.263	1382.595	SLSN-I	0.182	1.0	0.178	1.0	0.169	1.0	0.182	1.0	0.186	1.0	0.185	1.0
SN2017hia	58037.5	0.506799981547853	0.307901144919113	0.03783	172.216	Ic	0.033	1.0	0.032	1.0	0.032	1.0	0.037	1.0	0.032	1.0	0.031	1.0
SN2017hix	58039.5	4.13388505540074	1.20055022718393	0.012	53.6	Ic	0.953	1.0	0.945	1.0	0.933	1.0	0.965	1.0	0.956	1.0	0.947	1.0
SN2017hnv	58044.5	6.03600305186589	0.448149452550155	0.03	140.0	Ic	0.367	1.0	0.367	1.0	0.364	1.0	0.37	1.0	0.358	1.0	0.363	1.0
SN2017hfw	58062.5	0.133008633412401	-0.153245920014748	0.018	80.8	Ic	0.61	1.0	0.696	1.0	0.723	1.0	1.0	1.0	0.652	1.0	0.693	1.0
SN2017ifh	58071.5	1.7238035245530658	0.8803629824395031	0.039	178.563	Ic-BL	0.52	1.0	0.492	1.0	0.471	1.0	0.561	1.0	0.521	1.0	0.502	1.0
DES17X1amf	58075.5	0.60119320525988	-0.09774328624849354	0.915	6098.638	SLSN-I?	0.602	1.0	0.616	1.0	0.657	1.0	0.596	1.0	0.657	1.0	0.638	1.0
SN2017igt	58081.5	0.582067305540109	0.0592228030668803	0.029	131.0	Ic	0.008	0.852	0.005	0.733	0.004	0.662	0.01	0.914	0.007	0.818	0.005	0.735
SN2017iro	58086.5	3.6930439751678343	0.8852707513333749	unk	unk	Ib/c	0.376	1.0	0.441	1.0	0.493	1.0	0.287	1.0	0.373	1.0	0.427	1.0
SN2017hyf	58101.5	0.565268511489663	0.370867145936472	0.01713	76.812	Ib	0.165	1.0	0.154	1.0	0.148	1.0	0.181	1.0	0.157	1.0	0.15	1.0
SN2017izz	58102.5	3.8893207939650294	0.4989978264963896	0.03	136.462	Ibc	0.337	1.0	0.357	1.0	0.372	1.0	0.306	1.0	0.329	1.0	0.352	1.0
SN2017jea	58110.5	1.89804556154383	0.809463296418995	0.045	206.0	Ib/c	0.321	1.0	0.29	1.0	0.269	1.0	0.367	1.0	0.337	1.0	0.3	1.0
PS17fke	58112.5	2.38804674904124	0.365547139969553	0.07	330.0	Ib	0.393	1.0	0.386	1.0	0.383	1.0	0.385	1.0	0.389	1.0	0.385	1.0
SN2017ixv	58114.5	5.0680725375307	1.06722888894721	0.0073	32.497	Ic BL	0.025	0.998	0.018	0.99	0.015	0.979	0.036	1.0	0.026	0.999	0.02	0.993
SN2018bf	58118.5	6.0117138864423	0.44754876839926	0.025	113.0	Ic	0.128	1.0	0.11	1.0	0.094	1.0	0.152	1.0	0.131	1.0	0.115	1.0
SN2018lrd	58127.5	3.00414797499524	1.02210378898784	0.00999	44.55	Ib	0.187	1.0	0.168	1.0	0.148	1.0	0.217	1.0	0.199	1.0	0.175	1.0
SN2017jmj	58130.5	2.80925287518921	0.118073947965822	0.02788	126.007	Ic	0.329	1.0	0.271	1.0	0.232	1.0	0.403	1.0	0.324	1.0	0.285	1.0
SN2018hb	58131.5	2.38346525975476	0.302628650692943	0.114	546.9	Ib	0.192	1.0	0.192	1.0	0.203	1.0	0.196	1.0	0.19	1.0	0.194	1.0
SN2018aii	58132.5	3.23831298297115	0.471144068482444	0.07916	371.049	Ic	0.488	1.0	0.434	1.0	0.398	1.0	0.544	1.0	0.47	1.0	0.439	1.0
SN2018if	58135.5	2.4190263432641403	0.8655519244816069	0.031	141.114	Ic-BL	0.944	1.0	0.932	1.0	0.921	1.0	0.959	1.0	0.946	1.0	0.937	1.0
ASASSN-18bj	58142.0	2.46507894997311	0.705094342782713	0.0278	126.27	Ic-BL	0.272	1.0	0.268	1.0	0.266	1.0	0.264	1.0	0.274	1.0	0.269	1.0
SN2018jq	58143.5	3.38942940737299	0.0679090158658474	0.025	113.0	Ib	0.185	1.0	0.216	1.0	0.243	1.0	0.166	1.0	0.184	1.0	0.205	1.0
SN2018ot	58147.5	3.42513593498671	0.532416954681264	0.0355	161.3	Ib	0.235	1.0	0.208	1.0	0.191	1.0	0.271	1.0	0.238	1.0	0.215	1.0
SN2018oz	58152.5	0.935205590860295	0.691026998707912	0.01811	81.251	Ic	0.105	1.0	0.11	1.0	0.113	1.0	0.097	1.0	0.108	1.0	0.11	1.0
SN2018yn	58171.5	3.08145151644816	0.355846454542864	0.02329	104.9	Ic	0.664	1.0	0.601	1.0	0.548	1.0	0.728	1.0	0.664	1.0	0.617	1.0
ASASSN-18dr	58172.0	3.2549329389509	0.0780855071354507	0.01847	83.3	Ic-BL	0.889	1.0	0.892	1.0	0.883	1.0	0.874	1.0	0.896	1.0	0.892	1.0
SN2018abo	58174.5	3.10668606854991	0.169351285057102	0.05082	233.54	Ic	0.61	1.0	0.571	1.0	0.535	1.0	0.647	1.0	0.603	1.0	0.575	1.0
SN2018akj	58197.5	3.26020232067324	-0.1343345018675	0.02931	132.591	Ib	0.54	1.0	0.471	1.0	0.402	1.0	0.585	1.0	0.519	1.0	0.473	1.0
SN2018aks	58199.5	2.74831179547374	0.157306670926353	0.04797	219.99	Ic	0.016	0.982	0.009	0.906	0.007	0.835	0.027	0.999	0.014	0.972	0.011	0.933
ASASSN-18ge	58201.0	3.8106263996312	0.720246418683902	0.01814	81.796	Ib	0.054	1.0	0.048	1.0	0.042	1.0	0.061	1.0	0.056	1.0	0.051	1.0
SN2018yg	58201.5	3.254966332917258	0.0780855459205452	unk	unk	Ic-BL	0.233	1.0	0.198	1.0	0.181	1.0	0.276	1.0	0.22	1.0	0.204	1.0
SN2018avy	58224.5	3.11984875999203	0.5598205147109313	0.031	141.114	Ib/c	0.243	1.0	0.261	1.0	0.279	1.0	0.226	1.0	0.229	1.0	0.248	1.0
SN2018aqf	58226.5	4.829398762320476	0.8925695728211108	0.033	150.437	Ib	0.815	1.0	0.828	1.0	0.83	1.0	0.774	1.0	0.812	1.0	0.825	1.0
SN2018bcc	58231.5	4.25154933580602	0.626885421476599	0.0636	296.31	Ibn	0.757	1.0	0.712	1.0	0.671	1.0	0.801	1.0	0.762	1.0	0.724	1.0
SN2018bfp	58231.5	3.51087523449093	-0.04504883876733	0.053	244.0	Ib	0.758	1.0	0.742	1.0	0.721	1.0	0.768	1.0	0.761	1.0	0.746	1.0
SN2018bgp	58231.5	3.13373867195582	0.860802835105562	0.053	244.0	Ib	0.597	1.0	0.563	1.0	0.541	1.0	0.638	1.0	0.599	1.0	0.572	1.0
SN2018beh	58241.5	2.49313011442173	0.31080386987202	0.06	280.0	Ib/c	0.326	1.0	0.406	1.0	0.48	1.0	0.264	1.0	0.361	1.0	0.402	1.0
SN2018bvw	58242.5	3.109885838845229	0.44811386722596147	0.054	249.899	Ic-BL	0.691	1.0	0.654	1.0	0.618	1.0	0.725	1.0	0.695	1.0	0.666	1.0
SN2018avk	58247.5	3.45342481327945	1.14560095975329	0.132	640.6	Ic	0.944	1.0	0.941	1.0	0.938	1.0	0.948	1.0	0.943	1.0	0.941	1.0
SN2018ltk	58250.5	2.06945143850011	0.249116710382692	0.0153	68.5	Ic	0.528	1.0	0.534	1.0	0.524	1.0	0.507	1.0	0.536	1.0	0.534	1.0
SN2018bgv	58257.5	2.890701573615608	0.9703826534528726	0.08	376.94	SLSN-I	0.277	1.0	0.247	1.0	0.221	1.0	0.32	1.0	0.289	1.0	0.258	1.0
SN2018bym	58257.5	4.900957261652243	0.7890244242880433	0.267	1406.575	SLSN-I	0.184	1.0	0.174	1.0	0.172	1.0	0.197	1.0	0.182	1.0	0.176	1.0
SN2018alc	58257.5	3.81063553352095	0.720246476861543	0.01814	81.392	Ib	0.508	1.0	0.469	1.0	0.438	1.0	0.552	1.0	0.508	1.0	0.48	1.0
SN2018bvi	58257.5	3.72758694994689	0.186369942111931	0.02417	108.94	Ib	0.045	1.0	0.05	1.0	0.058	1.0	0.038	1.0	0.042	1.0	0.047	1.0
SN2018bja	58264.5	4.30187299590519	0.711698193554852	0.0301	136.3	Ib	0.581	1.0	0.56	1.0	0.543	1.0	0.613	1.0	0.581	1.0	0.562	1.0
AT2018cdh	58270.5	3.9781144196602414	0.11205013797803595	unk	unk	Ibn	0.169	1.0	0.169	1.0	0.165	1.0	0.163	1.0	0.179	1.0	0.173	1.0
SN2018cew	58270.5	6.25002405139169	0.502221401143455	0.02245	101.06	Ib	0.658	1.0	0.607	1.0	0.568	1.0	0.726	1.0	0.654	1.0	0.615	1.0
SN2018cem	58273.5	4.213152092262145	0.570079172203209	0.03	136.462	Ic	0.475	1.0	0.49	1.0	0.497	1.0	0.453	1.0	0.471	1.0	0.481	1.0
SN2018lzv	58278.5	3.3337243154135017	0.977891011413584	0.434	2473.436	SLSN-I	0.246	1.0	0.222	1.0	0.196	1.0	0.258	1.0	0.258	1.0	0.234	1.0
SN2018cxa	58279.5	5.884304851046714	0.20277705518940797	0.19	959.295	SLSN-I	0.963	1.0	0.955	1.0	0.947	1.0	0.967	1.0	0.962	1.0	0.957	1.0
SN2018ckd	58280.5	3.692244032594004	0.16309054662335815	0.024	108.69	Ib-Ca-rich	0.132	1.0	0.136	1.0	0.135	1.0	0.119	1.0	0.155	1.0	0.144	1.0
SN2018cbz	58280.5	3.58367000870952	-0.075856566540276	0.0223	100.4	Ic	1.0	1.0	1.0	1.0	0.914	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SN2018cve	58285.5	3.25234833903927	0.555433241785099	0.039	178.0	Ic	0.163	1.0	0.142	1.0	0.128	1.0	0.189	1.0	0.166	1.0	0.149	1.0
SN2018cow	58286.5	4.258603374866163	0.3886500632782016	unk	unk	Ic-BL	0.698	1.0	0.681	1.0	0.675	1.0	0.713	1.0	0.69	1.0	0.684	1.0
SN2018don	58295.5	3.6440293120076603	1.0209302489913468	0.0735	344.782	SLSN-I	0.906	1.0	0.923	1.0	0.937	1.0	0.871	1.0	0.898	1.0	0.918	1.0
SN2018cwx	58297.5	6.02662190713642	0.0743552440139841	0.05	230.0	Ic	0.666	1.0	0.631	1.0	0.595	1.0	0.713	1.0	0.663	1.0	0.63	1.0
SN2018dbg	58307.5	3.74365852347567	0.46098310094690975	unk	unk	Ib/c	0.629	1.0	0.657	1.0	0.674	1.0	0.592	1.0	0.635	1.0	0.653	1.0
SN2018dgx	58307.5	4.66039271308569	0.911475609536499	0.02532	114.208	Ic	0.895	1.0	0.886	1.0	0.878	1.0	0.903	1.0	0.898	1.0	0.892	1.0
SN2018dxt	58311.5	4.44578993714256	0.790440807457405	0.04	180.0	Ic	0.27	1.0	0.267	1.0	0.261	1.0	0.268	1.0	0.273	1.0	0.271	1.0
SN2018dgs	58312.5	4.45189858952454	0.670067194276608	0.0351	159.5	Ib	0.167	1.0	0.153	1.0	0.14	1.0	0.189	1.0	0.169	1.0	0.155	1.0
SN2018dys	58313.5	3.38230264626068	-0.0971944771614776	0.055	253.0	Ic	0.414	1.0	0.466	1.0	0.502	1.0	0.368	1.0	0.433	1.0	0.461	1.0
SN2018ebq	58314.5	5.68293748859787	0.205684919167335	0.04	180.0	Ic	0.278	1.0	0.271	1.0	0.254	1.0	0.268	1.0	0.282	1.0	0.275	1.0
SN2018cim	58316.5	4.17853639543092	1.37204264338228	0.035	159.0	Ib	0.815	1.0	0.792	1.0	0.769	1.0	0.834	1.0	0.822	1.0	0.803	1.0
SN2018ebt	58321.5	5.4188837171815605	1.1207566341834636	0.03	136.462	Ic-BL	0.648	1.0	0.587	1.0	0.534	1.0	0.733	1.0	0.67	1.0	0.607	1.0
SN2018eaw	58323.5	4.64352119698308	1.16436092210656	0.0472	216.3	Ic	0.608	1.0	0.604	1.0	0.595	1.0	0.594	1.0	0.612	1.0	0.606	1.0
SN2018erw	58329.5	4.08319778504073	0.379414265690329	0.02352	105.965	Ic	1.0	1.0	0.109	1.0	0.162	1.0	1.0	1.0	1.0	1.0	0.1	1.0
